id;pm10;pm25;pm1;co2;co;humidity;temperature;date;long;lat
"5619";"6";"8";"8";"-24416";"3.96";"0";"0";"2018-01-03 14:16:21";"-17.4678";"14.6829"
"5620";"6";"9";"8";"-28275";"3.93";"0";"0";"2018-01-03 14:16:23";"-17.4678";"14.6829"
"5621";"6";"9";"8";"-23287";"3.94";"0";"0";"2018-01-03 14:16:25";"-17.4678";"14.6829"
"5622";"6";"9";"8";"29958";"3.93";"0";"0";"2018-01-03 14:16:27";"-17.4678";"14.6829"
"5623";"6";"9";"9";"-32514";"3.94";"0";"0";"2018-01-03 14:16:28";"-17.4678";"14.6829"
"5624";"6";"9";"9";"-27186";"3.94";"0";"0";"2018-01-03 14:16:30";"-17.4678";"14.6829"
"5625";"5";"8";"7";"-26638";"3.93";"0";"0";"2018-01-03 14:16:32";"-17.4678";"14.6829"
"5626";"5";"8";"7";"-27732";"3.93";"0";"0";"2018-01-03 14:16:34";"-17.4678";"14.6829"
"5627";"6";"9";"8";"-22146";"3.94";"0";"0";"2018-01-03 14:16:36";"-17.4678";"14.6829"
"5628";"6";"10";"8";"-20412";"4.06";"0";"0";"2018-01-03 14:16:37";"-17.4678";"14.6829"
"5629";"6";"10";"8";"-19828";"3.93";"0";"1";"2018-01-03 14:16:39";"-17.4678";"14.6829"
"5630";"6";"10";"8";"-24416";"3.93";"0";"0";"2018-01-03 14:16:41";"-17.4678";"14.6829"
"5631";"6";"11";"9";"-29351";"3.92";"0";"0";"2018-01-03 14:16:43";"-17.4678";"14.6829"
"5632";"6";"11";"8";"28957";"3.95";"0";"0";"2018-01-03 14:16:45";"-17.4678";"14.6829"
"5633";"6";"11";"8";"-29351";"3.93";"0";"0";"2018-01-03 14:16:46";"-17.4678";"14.6829"
"5634";"6";"11";"8";"-31471";"3.91";"0";"0";"2018-01-03 14:16:48";"-17.4678";"14.6829"
"5635";"7";"11";"9";"-27732";"3.93";"0";"0";"2018-01-03 14:16:50";"-17.4678";"14.6829"
"5636";"7";"11";"9";"-19828";"3.92";"0";"0";"2018-01-03 14:16:52";"-17.4678";"14.6829"
"5637";"8";"12";"10";"-21571";"3.91";"0";"0";"2018-01-03 14:16:54";"-17.4678";"14.6829"
"5638";"8";"13";"11";"25060";"3.91";"0";"0";"2018-01-03 14:16:55";"-17.4678";"14.6829"
"5639";"8";"12";"10";"-27186";"3.92";"0";"0";"2018-01-03 14:16:57";"-17.4678";"14.6829"
"5640";"8";"12";"10";"-19828";"3.93";"0";"0";"2018-01-03 14:16:59";"-17.4678";"14.6829"
"5641";"9";"13";"11";"32505";"3.98";"0";"0";"2018-01-03 14:17:01";"-17.4678";"14.6829"
"5642";"10";"16";"13";"-13196";"3.93";"0";"0";"2018-01-03 14:17:02";"-17.4678";"14.6829"
"5643";"12";"21";"17";"-21571";"3.94";"0";"0";"2018-01-03 14:17:04";"-17.4678";"14.6829"
"5644";"13";"21";"18";"-29351";"3.93";"0";"0";"2018-01-03 14:17:06";"-17.4678";"14.6829"
"5645";"13";"23";"18";"-23287";"3.97";"0";"0";"2018-01-03 14:17:08";"-17.4678";"14.6829"
"5646";"14";"22";"18";"-16861";"3.93";"0";"0";"2018-01-03 14:17:10";"-17.4678";"14.6829"
"5647";"14";"23";"18";"-20993";"3.98";"0";"0";"2018-01-03 14:17:11";"-17.4678";"14.6829"
"5648";"13";"20";"16";"-13815";"3.96";"0";"0";"2018-01-03 14:17:13";"-17.4678";"14.6829"
"5649";"13";"20";"16";"-12574";"3.93";"0";"0";"2018-01-03 14:17:15";"-17.4678";"14.6829"
"5650";"13";"20";"16";"26019";"3.94";"0";"0";"2018-01-03 14:17:17";"-17.4678";"14.6829"
"5651";"12";"20";"15";"-23853";"3.93";"0";"0";"2018-01-03 14:17:19";"-17.4678";"14.6829"
