temp	date	heure
22.19	2018-12-31	23:59:14
22.19	2018-12-31	23:29:07
22.19	2018-12-31	22:59:01
22.25	2018-12-31	22:28:55
22.25	2018-12-31	21:58:49
22.31	2018-12-31	21:28:43
22.31	2018-12-31	20:58:37
22.31	2018-12-31	20:28:31
22.31	2018-12-31	19:58:25
22.38	2018-12-31	19:28:19
22.38	2018-12-31	18:58:13
22.38	2018-12-31	18:28:07
22.44	2018-12-31	17:58:01
22.5	2018-12-31	17:27:55
22.5	2018-12-31	16:57:49
22.5	2018-12-31	16:27:43
22.5	2018-12-31	15:57:37
22.4	2018-12-31	15:27:30
22.44	2018-12-31	14:57:24
22.5	2018-12-31	14:27:18
22.75	2018-12-31	13:57:12
22.19	2018-12-31	13:27:06
22.19	2018-12-31	12:57:00
22	2018-12-31	12:26:54
22.06	2018-12-31	11:56:48
22.44	2018-12-31	11:26:42
21.81	2018-12-31	10:56:36
21.75	2018-12-31	10:26:30
21.5	2018-12-31	09:56:24
21.5	2018-12-31	09:26:18
21.31	2018-12-31	08:56:12
21.31	2018-12-31	08:26:06
21.31	2018-12-31	07:56:00
21.25	2018-12-31	07:25:54
21.25	2018-12-31	06:55:48
21.25	2018-12-31	06:25:42
21.25	2018-12-31	05:55:36
21.25	2018-12-31	05:25:31
21.25	2018-12-31	04:55:25
21.31	2018-12-31	04:25:19
21.31	2018-12-31	03:55:13
21.38	2018-12-31	03:25:07
21.38	2018-12-31	02:55:01
21.44	2018-12-31	02:24:55
21.44	2018-12-31	01:54:49
21.44	2018-12-31	01:24:43
21.5    2018-12-31	00:54:37
21.5	2018-12-31	00:24:31
21.56	2018-12-30	23:54:25
21.56	2018-12-30	23:24:19
21.56	2018-12-30	22:54:14
21.56	2018-12-30	22:24:08
21.56	2018-12-30	21:54:02
21.56	2018-12-30	21:23:56
21.56	2018-12-30	20:53:50
21.5	2018-12-30	20:23:44
21.5	2018-12-30	19:53:38
21.56	2018-12-30	19:23:32
21.63	2018-12-30	18:53:26
21.69	2018-12-30	18:23:20
21.63	2018-12-30	17:53:14
21.94	2018-12-30	17:23:08
21.94	2018-12-30	16:53:02
22.06	2018-12-30	16:22:56
21.88	2018-12-30	15:52:50
22.06	2018-12-30	15:22:44
21.75	2018-12-30	14:52:38
21.88	2018-12-30	14:22:32
21.88	2018-12-30	13:52:25
21.56	2018-12-30	13:22:19
21.56	2018-12-30	12:52:13
21.56	2018-12-30	12:22:07
21.94	2018-12-30	11:52:01
22.75	2018-12-30	11:21:55
21.88	2018-12-30	10:51:49
22.19	2018-12-30	10:21:43
21.38	2018-12-29	23:44:59
21.25	2018-12-29	23:14:53
21.19	2018-12-29	22:44:47
21.31	2018-12-29	22:04:38
21.25	2018-12-29	21:34:32
21.25	2018-12-29	21:04:26
21.13	2018-12-29	20:34:20
21.19	2018-12-29	20:04:14
21.25	2018-12-29	19:34:08
21.19	2018-12-29	19:04:02
21.13	2018-12-29	18:33:56
21.12	2018-12-29	18:03:50
21	2018-12-29	17:33:44
21.31	2018-12-29	17:03:38
21.63	2018-12-29	16:33:32
23.25	2018-12-29	16:03:26
23.38	2018-12-29	15:33:20
23.06	2018-12-29	15:03:14
23.38	2018-12-29	14:33:08
23	2018-12-29	14:03:02
23.06	2018-12-29	13:32:56
22.56	2018-12-29	13:02:50
22.88	2018-12-29	12:32:44
22.88	2018-12-29	12:02:38
22.56	2018-12-29	11:32:32
22.5	2018-12-29	11:02:26
21.31	2018-12-29	10:32:20
20.75	2018-12-29	05:36:56
20.94	2018-12-29	05:06:49
20.88	2018-12-29	04:36:43
20.94	2018-12-29	04:06:36
20.81	2018-12-29	03:36:30
20.88	2018-12-29	03:06:24
20.81	2018-12-29	02:36:18
20.75	2018-12-29	02:06:12
20.81	2018-12-29	01:36:06
20.94	2018-12-29	01:06:00
20.88	2018-12-29	00:35:54
20.81	2018-12-29	00:05:48
20.88	2018-12-28	23:35:42
21	2018-12-28	23:05:36
20.88	2018-12-28	22:35:31
21	2018-12-28	22:05:25
21.06	2018-12-28	21:35:19
21.13	2018-12-28	21:05:13
21.19	2018-12-28	20:35:07
21.13	2018-12-28	20:05:01
21.19	2018-12-28	19:34:55
21.13	2018-12-28	19:04:49
21.31	2018-12-28	18:34:43
21.5	2018-12-28	18:04:37
21.75	2018-12-28	17:34:31
22.81	2018-12-28	17:04:25
24	2018-12-28	16:34:19
24.06	2018-12-28	16:04:13
24.56	2018-12-28	15:34:07
24.88	2018-12-28	15:04:00
27	2018-12-28	14:33:54
34.69	2018-12-28	14:03:48
24.94	2018-12-28	13:33:42
24.88	2018-12-28	13:03:36
25	2018-12-28	12:33:30
25.56	2018-12-28	12:03:24
35.06	2018-12-28	11:33:18
28.5	2018-12-28	11:03:12
26.13	2018-12-28	10:33:06
21	2018-12-28	03:46:55
21	2018-12-28	03:16:48
21	2018-12-28	02:36:39
20.94	2018-12-28	02:06:33
20.81	2018-12-28	01:36:28
20.94	2018-12-28	01:06:22
21.06	2018-12-28	00:36:16
20.94	2018-12-28	00:06:10
21	2018-12-27	23:36:04
21	2018-12-27	23:05:58
21.06	2018-12-27	22:35:52
21.06	2018-12-27	22:05:47
22.88	2018-12-12	06:32:29
22.94	2018-12-12	05:52:20
23.19	2018-12-12	05:22:14
23.06	2018-12-12	04:52:08
23.19	2018-12-12	04:22:02
23.13	2018-12-12	03:51:56
23.06	2018-12-12	03:21:50
23.19	2018-12-12	02:51:44
23.06	2018-12-12	02:21:38
23.06	2018-12-12	01:51:32
22.94	2018-12-12	01:21:26
23	2018-12-12	00:51:20
23	2018-12-12	00:21:14
22.94	2018-12-11	23:51:08
23.06	2018-12-11	23:21:02
23.13	2018-12-11	22:50:55
23.13	2018-12-11	22:20:49
23.19	2018-12-11	21:50:43
23.31	2018-12-11	21:20:37
23.31	2018-12-11	20:50:31
23.31	2018-12-11	20:20:25
23.44	2018-12-11	19:50:19
23.63	2018-12-11	19:20:13
23.75	2018-12-11	18:50:07
24.06	2018-12-11	18:20:01
24.5	2018-12-11	17:49:54
24.88	2018-12-11	17:19:48
25.31	2018-12-11	16:49:42
25.38	2018-12-11	16:19:36
25.69	2018-12-11	15:49:30
25.81	2018-12-11	15:19:24
25.94	2018-12-11	14:49:17
27.25	2018-12-11	14:19:11
32.88	2018-12-11	13:49:05
24.5	2018-12-11	13:18:59
24.19	2018-12-11	12:48:53
23.88	2018-12-11	12:18:46
23.69	2018-12-11	11:48:40
24.56	2018-12-11	11:18:34
24.19	2018-12-11	10:48:28
23.75	2018-12-11	10:18:22
