,date,heure,minute,seconde,humidité,temperature
561,2019-08-23,23,51,36,72.00,27.94
562,2019-08-23,23,36,38,72.00,28.0
563,2019-08-23,23,21,37,72.00,28.0
564,2019-08-23,23,6,37,73.00,27.94
565,2019-08-23,22,51,36,72.00,27.94
566,2019-08-23,22,36,39,72.00,27.94
567,2019-08-23,22,20,28,74.00,28.0
568,2019-08-23,22,5,29,NAN,28.13
569,2019-08-23,21,50,28,72.00,28.31
570,2019-08-23,21,35,27,70.00,28.44
571,2019-08-23,21,20,25,68.00,28.75
572,2019-08-23,21,5,27,66.00,28.94
573,2019-08-23,20,50,26,68.00,29.31
574,2019-08-23,20,35,29,67.00,29.81
575,2019-08-23,20,20,29,67.00,30.25
576,2019-08-23,20,4,27,70.00,30.31
577,2019-08-23,19,49,25,71.00,29.31
578,2019-08-23,19,34,28,67.00,29.38
579,2019-08-23,19,19,27,64.00,29.88
580,2019-08-23,19,4,26,66.00,30.75
581,2019-08-23,18,49,28,63.00,31.25
582,2019-08-23,18,34,27,62.00,31.19
583,2019-08-23,18,19,26,63.00,31.06
584,2019-08-23,18,3,16,63.00,31.06
585,2019-08-23,17,48,14,63.00,31.06
586,2019-08-23,17,33,16,63.00,31.13
587,2019-08-23,17,18,14,62.00,31.19
588,2019-08-23,17,3,16,62.00,31.38
589,2019-08-23,16,48,15,60.00,31.88
590,2019-08-23,16,33,15,NAN,31.75
591,2019-08-23,16,18,15,58.00,31.56
592,2019-08-23,16,3,18,60.00,31.94
593,2019-08-23,15,47,7,62.00,31.75
594,2019-08-23,15,32,8,63.00,31.44
595,2019-08-23,15,17,8,62.00,31.19
596,2019-08-23,15,2,7,63.00,31.0
597,2019-08-23,14,47,9,61.00,31.13
598,2019-08-23,14,32,9,62.00,31.0
599,2019-08-23,14,17,6,64.00,31.06
600,2019-08-23,14,2,5,61.00,31.06
601,2019-08-23,13,47,38,59.00,30.75
602,2019-08-23,13,30,58,NAN,31.5
603,2019-08-23,13,15,57,67.00,30.75
604,2019-08-23,13,0,56,67.00,30.0
605,2019-08-23,12,45,56,69.00,29.38
606,2019-08-23,12,30,56,68.00,28.88
607,2019-08-23,12,15,56,70.00,28.63
608,2019-08-23,12,0,57,72.00,28.56
609,2019-08-23,11,45,57,72.00,28.44
610,2019-08-23,11,31,0,71.00,28.44
611,2019-08-23,11,14,49,72.00,28.25
612,2019-08-23,10,59,47,69.00,28.25
613,2019-08-23,10,44,46,74.00,28.13
614,2019-08-23,10,29,49,75.00,27.75
615,2019-08-23,10,14,46,77.00,27.31
616,2019-08-23,9,59,46,79.00,26.88
617,2019-08-23,9,45,4,78.00,26.75
618,2019-08-23,9,29,48,77.00,26.63
619,2019-08-23,9,15,31,NAN,26.81
620,2019-08-23,8,58,50,78.00,27.06
621,2019-08-23,8,43,45,77.00,27.0
622,2019-08-23,8,28,46,77.00,27.0
623,2019-08-23,8,13,46,78.00,27.06
624,2019-08-23,7,58,47,79.00,27.06
625,2019-08-23,7,43,45,78.00,27.06
626,2019-08-23,7,28,44,78.00,27.0
627,2019-08-23,7,13,46,79.00,26.94
628,2019-08-23,6,57,36,78.00,26.94
629,2019-08-23,6,42,35,78.00,26.94
630,2019-08-23,6,27,53,78.00,26.94
631,2019-08-23,6,12,40,78.00,26.94
632,2019-08-23,5,57,36,78.00,26.88
633,2019-08-23,5,42,35,NAN,26.88
634,2019-08-23,5,27,36,NAN,26.94
635,2019-08-23,5,12,36,77.00,26.94
636,2019-08-23,4,57,38,77.00,26.94
637,2019-08-23,4,26,27,78.00,26.94
638,2019-08-23,4,11,27,79.00,26.94
639,2019-08-23,3,56,26,80.00,26.94
640,2019-08-23,3,42,26,81.00,27.0
641,2019-08-23,3,26,26,81.00,27.0
642,2019-08-23,3,11,26,81.00,26.94
643,2019-08-23,2,56,27,80.00,26.81
644,2019-08-23,2,41,28,81.00,26.75
645,2019-08-23,2,11,4,80.00,26.81
646,2019-08-23,1,56,7,78.00,26.81
647,2019-08-23,1,40,1,79.00,26.81
648,2019-08-23,1,25,0,78.00,26.81
649,2019-08-23,1,10,1,78.00,26.81
650,2019-08-23,0,55,2,78.00,26.75
651,2019-08-23,0,40,31,77.00,26.75
652,2019-08-23,0,25,4,80.00,26.75
653,2019-08-23,0,10,1,80.00,26.75
