,date,heure,minute,seconde,humidité,temperature
0,2019-08-30,22,7,14,89.00,25.69
1,2019-08-30,21,52,1,89.00,25.56
2,2019-08-30,21,36,59,89.00,25.44
3,2019-08-30,21,22,8,89.00,25.38
4,2019-08-30,21,22,8,89.00,25.38
5,2019-08-30,21,6,13,89.00,25.31
6,2019-08-30,20,50,52,89.00,25.31
7,2019-08-30,20,35,51,89.00,25.5
8,2019-08-30,20,20,54,89.00,25.56
9,2019-08-30,19,50,53,90.00,25.63
10,2019-08-30,19,36,2,90.00,25.69
11,2019-08-30,19,20,56,89.00,25.69
12,2019-08-30,18,35,24,85.00,26.06
13,2019-08-30,18,20,22,82.00,26.44
14,2019-08-30,18,4,21,80.00,27.06
15,2019-08-30,17,49,27,77.00,27.69
16,2019-08-30,17,34,33,76.00,28.06
17,2019-08-30,17,19,18,75.00,28.44
18,2019-08-30,17,4,24,78.00,28.69
19,2019-08-30,16,49,21,81.00,28.19
20,2019-08-30,16,34,28,82.00,27.88
21,2019-08-30,16,19,19,85.00,27.44
22,2019-08-30,16,3,15,88.00,27.13
23,2019-08-30,15,48,16,90.00,26.88
24,2019-08-30,15,33,16,93.00,26.56
25,2019-08-30,15,18,13,91.00,25.94
26,2019-08-30,15,3,16,90.00,25.25
27,2019-08-30,14,48,18,90.00,25.31
28,2019-08-30,14,33,29,89.00,25.69
29,2019-08-30,14,18,21,89.00,25.75
30,2019-08-30,14,3,24,89.00,25.94
31,2019-08-30,13,47,17,84.00,26.0
32,2019-08-30,13,32,11,79.00,26.38
33,2019-08-30,13,17,14,80.00,27.19
34,2019-08-30,13,2,18,80.00,27.31
35,2019-08-30,12,47,8,80.00,27.06
36,2019-08-30,12,32,9,80.00,27.0
37,2019-08-30,12,17,10,82.00,26.88
38,2019-08-30,12,2,16,82.00,26.88
39,2019-08-30,11,45,58,81.00,26.63
40,2019-08-30,11,30,59,82.00,26.44
41,2019-08-30,11,15,58,83.00,26.63
42,2019-08-30,11,0,57,83.00,26.88
43,2019-08-30,10,45,57,84.00,27.31
44,2019-08-30,10,31,1,85.00,27.19
45,2019-08-30,10,15,58,85.00,27.06
46,2019-08-30,10,0,58,86.00,26.88
47,2019-08-30,9,46,2,86.00,26.63
48,2019-08-30,9,29,57,87.00,26.56
49,2019-08-30,9,14,57,87.00,26.56
50,2019-08-30,8,59,58,87.00,26.5
51,2019-08-30,8,44,57,87.00,26.63
52,2019-08-30,8,29,59,87.00,26.63
53,2019-08-30,8,14,57,88.00,26.56
54,2019-08-30,8,0,3,88.00,26.56
55,2019-08-30,7,44,59,88.00,26.56
56,2019-08-30,7,14,11,87.00,26.56
57,2019-08-30,6,59,12,86.00,26.56
58,2019-08-30,6,44,11,86.00,26.75
59,2019-08-30,6,29,10,85.00,26.75
60,2019-08-30,6,14,14,85.00,26.94
61,2019-08-30,4,42,55,86.00,27.06
62,2019-08-30,4,27,53,85.00,27.0
63,2019-08-30,4,12,54,86.00,27.0
64,2019-08-30,3,57,53,85.00,27.19
65,2019-08-30,3,43,18,85.00,27.38
66,2019-08-30,2,56,46,84.00,27.69
67,2019-08-30,2,41,45,84.00,27.69
68,2019-08-30,2,26,44,83.00,27.88
69,2019-08-30,2,11,53,83.00,27.94
70,2019-08-30,1,57,4,82.00,27.94
71,2019-08-30,1,41,46,82.00,28.0
72,2019-08-30,1,26,47,82.00,28.0
73,2019-08-30,0,40,57,78.00,28.13
74,2019-08-30,0,25,41,78.00,28.31
75,2019-08-30,0,10,44,76.00,28.38
76,2019-08-29,23,55,55,75.00,28.56
77,2019-08-29,23,40,33,75.00,28.5
78,2019-08-29,23,25,51,74.00,28.63
79,2019-08-29,23,10,34,76.00,28.5
80,2019-08-29,22,39,43,75.00,28.56
81,2019-08-29,22,24,30,75.00,28.5
82,2019-08-29,22,9,39,74.00,28.56
83,2019-08-29,21,54,31,74.00,28.56
84,2019-08-29,21,39,31,74.00,28.69
85,2019-08-29,21,24,30,74.00,28.75
