PM1,PM25,PM10
16,28,28
21,24,40
17,28,56
19,32,39
17,32,50
21,42,59
21,42,58
20,38,52
22,40,58
22,39,72
23,41,73
23,42,66
19,39,59
19,38,58
20,39,57
19,38,58
18,39,56
20,39,56
21,42,62
21,43,66
19,37,58
18,35,58
19,37,60
19,37,60
18,35,58
17,35,52
17,33,47
16,31,44
16,31,45
17,33,47
19,36,49
19,32,41
17,27,39
16,31,45
17,34,53
16,33,51
16,34,52
18,34,48
16,30,45
16,32,44
17,32,49
19,34,45
18,33,45
17,31,45
15,28,43
14,25,40
14,27,39
15,29,45
17,31,42
17,31,42
18,34,46
20,35,53
18,31,42
17,31,39
16,30,40
16,31,42
15,29,41
16,28,39
18,27,37
17,29,36
15,28,35
16,28,38
16,29,39
16,31,43
16,28,40
15,28,40
16,29,37
16,30,49
17,30,46
17,31,46
17,30,44
16,29,41
16,29,44
16,29,41
15,29,40
16,29,40
17,30,41
17,32,42
17,31,43
17,31,46
15,27,38
16,27,38
16,28,43
15,26,38
14,28,40
15,31,41
15,29,40
15,28,35
14,26,32
16,32,43
17,33,52
15,31,56
15,29,55
14,27,46
14,26,38
14,24,35
15,27,38
15,28,40
15,28,43
15,28,43
14,26,44
14,26,45
15,28,46
14,28,43
14,27,40
15,27,37
15,28,38
15,27,38
17,30,40
16,29,42
16,28,38
15,26,35
14,25,33
15,26,36
15,26,32
15,26,35
15,25,35
15,24,36
14,25,38
15,25,36
14,26,40
14,25,40
14,24,41
14,24,42
14,25,33
15,26,35
16,27,36
15,28,39
16,29,41
15,28,41
16,28,41
16,29,43
16,28,42
16,28,40
16,28,42
14,27,41
15,28,40
16,28,41
15,27,43
14,26,44
13,24,40
14,24,36
14,27,39
14,28,39
15,28,40
15,28,39
15,26,35
15,26,33
14,25,34
14,27,36
14,29,43
15,28,44
15,28,43
15,27,45
15,27,39
15,27,39
14,27,40
14,26,38
15,25,38
15,27,39
14,26,38
15,28,39
14,26,35
15,26,37
15,26,36
15,26,34
15,28,39
15,27,41
15,25,40
14,23,37
15,25,39
21,37,52
19,33,50
21,36,52
20,35,53
19,35,51
19,35,50
17,30,41
16,30,41
16,30,43
17,27,41
17,28,38
16,28,43
17,29,45
17,31,42
17,31,43
15,27,39
17,28,42
17,28,42
17,28,44
15,28,41
14,28,36
15,28,37
15,26,37
16,27,38
15,26,34
14,26,37
17,31,42
14,26,35
14,27,36
14,25,36
14,27,38
16,27,39
15,26,37
16,28,45
15,28,45
14,28,44
15,25,35
15,23,28
15,24,28
15,23,29
15,27,40
18,31,44
18,29,39
16,26,37
16,26,36
15,25,35
15,26,33
15,26,35
15,27,37
16,28,37
17,27,38
16,28,37
16,27,36
16,28,35
15,29,36
16,30,36
16,29,43
16,28,43
17,28,41
17,27,34
17,28,43
17,31,51
18,29,48
18,31,46
19,31,41
17,28,43
17,29,43
17,29,41
17,28,38
17,26,35
16,26,33
16,28,38
17,27,39
16,27,39
15,25,35
16,25,31
16,26,37
16,27,39
18,31,50
19,34,53
18,31,44
14,25,37
15,25,34
16,27,35
17,29,41
15,26,37
16,26,36
16,29,39
16,31,44
16,31,43
17,32,50
17,31,51
16,29,48
17,30,46
16,29,45
16,30,44
17,32,48
17,29,45
17,29,44
17,28,41
16,28,39
16,29,42
17,29,41
16,29,40
17,29,38
18,28,34
17,28,32
17,27,32
18,29,39
17,30,43
18,31,41
18,30,43
17,28,44
17,26,40
16,26,39
15,26,36
15,27,39
14,26,39
14,26,39
14,26,39
16,25,35
16,29,42
17,32,45
16,29,44
17,29,40
18,31,43
18,30,41
18,33,45
18,31,36
16,27,35
16,26,37
15,26,40
15,25,40
16,26,37
16,26,37
16,28,35
15,28,38
14,26,40
15,27,44
16,29,46
15,26,35
14,24,30
15,24,31
15,25,32
15,26,33
17,28,41
18,29,43
16,28,35
15,25,31
15,25,32
16,25,36
16,25,36
16,25,38
16,25,35
16,25,36
15,25,37
16,27,39
16,27,39
15,28,38
17,29,39
16,29,42
15,28,39
15,28,37
14,25,34
14,25,34
14,28,42
14,28,42
15,27,38
15,25,34
15,24,30
15,26,33
15,25,31
14,22,34
14,21,34
13,22,32
14,22,31
14,22,31
14,23,30
14,25,32
16,28,43
18,28,41
16,27,36
16,27,36
15,25,31
15,25,30
15,23,30
15,22,28
14,22,33
13,21,33
14,23,34
13,25,34
14,23,38
17,27,41
16,26,43
14,25,39
15,26,36
15,26,39
14,24,37
15,24,36
14,25,36
14,24,32
14,24,34
13,25,33
14,25,32
14,26,36
13,25,33
13,24,35
13,23,36
13,22,34
15,24,32
14,24,32
14,23,30
15,25,35
14,23,35
15,25,35
15,26,36
16,25,33
15,24,32
15,24,34
15,25,34
14,23,31
14,22,29
14,22,31
15,23,31
18,27,33
14,24,30
13,22,29
14,23,29
14,22,29
16,22,31
16,22,33
15,22,32
16,24,34
15,24,35
14,24,38
14,23,38
14,24,36
14,24,33
16,24,31
17,25,29
15,24,29
14,24,30
15,25,29
15,23,29
15,23,31
14,23,31
13,23,30
15,28,34
16,28,33
17,26,35
17,27,37
16,24,34
16,24,36
17,25,35
17,27,39
17,28,40
17,28,38
17,28,36
16,26,36
14,25,34
14,26,36
14,26,35
15,26,32
15,27,32
14,25,32
14,22,31
14,24,33
14,24,34
15,23,35
14,24,35
14,24,37
15,25,36
14,26,35
16,29,39
15,26,34
15,25,32
14,27,33
14,26,31
14,25,32
14,25,34
14,24,35
14,24,34
14,24,33
14,24,36
15,25,37
13,24,35
16,27,38
17,28,35
18,29,36
14,23,30
14,23,31
13,23,31
14,25,33
14,26,33
14,27,31
14,26,32
13,24,33
12,23,32
14,24,33
15,25,31
14,24,31
15,23,31
16,26,32
17,24,31
13,22,32
12,22,30
12,22,30
13,22,26
14,22,29
14,23,34
15,25,36
14,24,34
15,23,31
15,23,28
15,23,29
14,24,33
14,26,41
14,25,37
16,26,37
17,30,41
20,35,48
19,33,49
18,33,48
17,32,43
17,33,43
16,30,38
15,25,32
16,26,32
17,25,32
16,26,33
14,25,33
14,21,29
15,23,33
13,22,30
13,23,31
13,24,35
14,24,34
15,24,38
15,25,36
15,24,35
15,25,35
14,26,32
16,26,36
17,26,36
14,25,35
16,28,36
15,26,32
14,24,32
13,22,29
14,22,33
15,23,34
16,23,34
16,24,37
15,22,33
14,24,31
13,22,30
13,22,29
14,23,30
15,22,28
15,22,27
14,20,25
15,27,37
15,27,39
15,24,36
13,23,34
14,24,34
14,23,34
13,23,30
13,21,27
12,20,25
13,21,27
13,21,29
14,24,33
14,23,32
14,24,33
13,24,35
14,25,37
14,25,39
13,24,41
13,23,36
14,26,35
14,27,33
15,26,32
15,28,34
15,27,33
17,27,32
17,28,33
17,26,34
16,23,30
15,22,30
14,21,27
13,19,24
13,21,28
13,22,30
14,24,35
14,25,36
14,25,37
15,28,37
16,24,32
15,22,29
15,24,33
15,22,32
15,22,32
15,22,31
15,25,32
15,26,35
15,26,36
14,25,34
14,22,30
15,24,31
16,26,32
15,26,31
14,26,31
14,24,30
13,21,28
14,24,32
15,24,31
14,27,36
15,28,38
15,27,36
17,27,39
17,28,39
17,29,42
17,31,44
16,25,32
14,23,31
15,26,37
15,27,41
16,28,41
15,27,38
15,27,36
15,27,38
15,27,38
15,27,35
16,26,32
15,24,30
14,23,30
15,23,32
16,27,40
16,28,40
17,27,41
16,27,39
14,25,34
14,24,33
16,27,41
15,25,43
15,24,35
14,23,29
13,23,27
13,24,29
13,27,30
16,32,38
18,34,42
19,35,46
17,30,41
16,31,41
15,29,47
15,28,38
17,30,42
18,33,44
18,31,46
18,32,44
17,29,39
16,27,41
16,29,45
14,24,37
14,22,37
15,22,35
15,25,37
14,24,33
13,24,34
13,22,34
14,24,38
14,24,36
14,24,35
14,25,35
15,25,31
15,26,32
15,25,32
15,24,34
13,23,36
14,24,38
14,25,38
15,28,39
14,25,36
14,24,36
14,25,37
14,24,36
14,24,34
14,24,35
13,24,35
14,25,35
14,27,33
14,26,33
14,25,32
15,27,36
15,28,38
14,26,35
14,26,33
15,25,32
13,24,33
13,24,34
13,23,32
13,22,31
14,23,34
15,25,38
14,22,29
13,21,27
14,22,27
14,22,27
14,24,34
13,24,34
13,24,34
12,22,32
13,23,30
14,23,31
14,24,33
14,24,34
15,25,34
16,26,41
15,26,38
15,26,38
13,24,35
14,24,35
14,24,35
13,22,35
13,22,32
13,21,31
12,20,27
14,24,33
13,24,30
14,25,34
14,24,36
15,25,38
14,25,38
14,26,38
15,27,37
15,26,34
15,25,34
15,24,33
12,22,30
12,22,29
13,22,31
12,20,29
12,20,27
12,20,33
12,20,30
13,22,34
13,22,35
13,23,32
14,24,34
15,25,33
14,24,38
13,22,34
13,24,35
13,23,33
13,22,27
13,23,29
13,21,26
14,25,29
14,26,35
14,25,35
15,27,39
15,24,37
14,22,31
13,21,27
13,20,28
12,20,29
13,22,30
14,24,34
15,26,37
15,27,35
15,26,35
14,25,30
14,24,29
14,23,31
15,24,31
12,19,25
12,20,26
13,22,28
13,21,29
12,21,30
13,22,30
13,22,35
14,22,31
14,23,31
15,24,31
15,24,32
15,25,32
15,25,32
14,24,29
13,24,31
13,24,33
14,25,37
13,23,33
14,24,38
15,24,38
16,23,37
14,21,29
13,19,27
12,20,26
13,22,30
14,23,31
14,24,31
16,26,34
15,25,31
15,24,35
15,23,32
14,22,31
14,21,31
11,20,33
12,22,33
13,22,31
13,23,32
14,23,31
13,22,30
13,21,30
13,22,32
13,22,31
12,22,31
12,22,32
12,21,30
12,20,30
13,20,31
13,20,29
12,20,28
12,19,28
12,20,30
12,20,31
14,22,30
14,23,31
14,24,30
14,24,29
14,24,29
14,23,27
14,23,28
14,23,32
13,22,32
13,22,30
14,22,30
13,20,29
13,21,32
13,21,32
13,22,33
14,23,34
14,23,31
15,24,32
15,24,30
12,21,26
12,21,26
12,19,24
13,20,27
12,20,29
12,20,28
12,20,32
13,20,31
14,24,33
13,22,30
13,25,34
13,23,28
14,23,28
13,21,28
13,22,33
13,22,33
11,21,28
11,21,30
12,21,25
13,21,30
14,23,36
13,21,34
12,20,33
12,21,31
11,21,30
11,21,29
10,20,29
12,21,27
13,21,27
13,21,29
13,22,29
11,19,27
11,18,24
12,19,26
12,21,30
12,21,31
13,21,32
13,21,31
14,22,32
14,22,32
14,23,32
12,22,28
12,21,25
13,22,27
13,19,23
12,17,20
12,18,23
12,20,27
13,22,31
13,24,32
14,24,34
14,25,31
13,23,30
12,22,29
11,22,30
12,23,30
14,23,32
14,23,30
14,24,30
13,23,29
12,23,30
14,24,35
13,23,35
12,18,26
14,21,30
13,21,34
12,20,32
12,19,30
12,19,28
12,20,28
12,20,27
13,20,28
13,21,29
13,22,34
14,22,34
14,22,34
13,21,30
13,22,29
14,23,35
13,24,33
13,25,35
11,21,29
12,20,29
13,22,30
13,23,29
13,23,30
13,21,27
13,20,28
11,20,31
12,21,33
12,19,32
13,22,29
13,23,28
12,21,26
13,21,30
13,21,31
13,21,31
12,22,33
13,25,34
13,24,31
13,23,31
15,24,35
15,24,34
13,23,31
14,22,29
12,19,24
13,19,28
13,20,29
13,20,31
12,19,29
14,25,34
13,26,32
12,21,32
12,22,29
14,24,33
13,21,32
13,21,32
13,21,34
11,21,27
14,24,29
12,21,26
12,21,24
12,19,25
14,20,28
14,21,29
13,22,30
12,23,28
12,21,26
11,21,24
11,19,25
12,18,27
12,20,29
12,21,30
13,20,28
13,21,26
12,20,28
12,22,30
12,22,33
12,22,31
13,23,31
14,23,31
13,22,29
13,24,31
13,24,31
12,23,29
11,22,28
11,22,28
11,22,28
12,22,27
12,22,29
13,21,28
14,23,32
13,22,30
12,23,29
12,23,29
12,22,28
13,22,28
13,23,29
13,24,32
12,23,32
13,24,32
12,22,29
13,23,31
13,23,32
14,24,33
12,21,28
12,20,28
13,20,28
12,20,29
13,21,30
12,20,28
12,19,25
13,21,26
13,20,25
14,22,27
13,23,27
12,22,27
13,22,28
13,23,32
13,24,32
13,23,31
13,22,31
13,20,26
14,21,31
14,21,30
13,21,32
13,22,31
13,21,27
12,20,28
12,20,26
12,19,25
12,21,29
13,24,32
13,23,32
12,22,33
11,20,30
12,20,33
12,21,34
13,22,34
15,23,36
12,20,33
13,23,35
12,24,32
12,25,32
12,22,29
12,20,32
12,20,34
13,21,35
13,21,32
14,21,29
13,21,28
12,19,23
12,21,26
12,22,29
12,22,28
13,22,30
13,21,31
14,21,31
14,23,29
13,23,32
12,22,34
11,23,35
13,25,38
13,24,38
13,24,35
15,25,36
14,24,34
13,23,31
13,22,31
14,22,34
14,22,30
14,22,30
14,22,31
14,21,30
12,21,34
13,22,32
13,22,30
13,21,31
14,22,35
13,21,36
13,21,34
12,21,29
12,21,27
13,21,25
12,20,23
12,19,25
13,19,31
13,21,35
13,21,34
13,22,32
11,21,28
11,21,29
12,22,32
13,24,32
15,26,34
13,23,31
12,21,30
13,22,33
12,21,34
12,21,36
13,21,33
12,19,29
13,19,27
12,19,27
11,18,25
11,18,24
13,19,25
13,20,26
14,21,29
14,22,30
13,21,28
14,21,30
12,22,27
13,21,26
12,20,26
13,20,27
13,22,30
13,24,31
13,24,32
12,23,31
13,23,31
12,21,30
13,22,30
13,23,31
12,23,30
13,23,31
11,20,28
13,21,31
12,21,31
12,23,32
13,25,34
14,26,32
14,25,32
14,25,32
13,20,28
13,21,30
14,23,31
12,23,32
13,24,31
12,23,30
12,22,29
13,23,29
15,25,32
13,23,28
13,23,30
14,24,29
12,21,28
11,18,28
11,17,30
11,18,31
12,20,31
13,20,31
12,20,25
13,21,24
13,21,27
13,22,29
14,23,31
14,23,32
13,22,35
13,21,32
13,20,29
13,21,30
11,19,28
11,20,28
11,21,29
11,21,29
12,22,31
12,20,29
11,18,27
12,19,28
13,25,36
11,22,28
11,21,26
11,21,27
12,23,28
12,22,25
12,23,27
11,21,28
12,21,29
13,21,30
13,20,29
13,21,27
12,21,30
12,22,32
12,21,30
13,23,30
13,22,26
12,21,32
12,21,35
12,22,36
14,26,32
16,27,38
16,26,38
16,26,38
14,22,32
13,21,28
14,23,32
13,22,35
14,23,30
14,22,31
15,24,32
14,24,31
14,23,31
14,23,31
14,23,36
14,22,34
13,21,36
14,22,38
15,26,40
15,28,43
14,27,40
13,25,37
13,22,33
13,22,34
13,21,31
12,20,31
11,19,30
12,21,34
12,21,33
14,21,33
14,21,31
14,21,30
13,20,29
13,20,31
12,20,31
15,26,32
15,25,33
14,23,30
14,24,33
13,24,33
14,24,33
15,25,39
15,24,38
15,25,39
13,23,35
14,26,35
14,26,36
14,28,37
13,24,29
14,25,37
12,20,30
13,22,29
14,23,32
14,23,35
13,24,33
13,23,34
13,24,33
13,24,31
12,23,31
13,24,29
13,23,28
14,25,30
13,25,30
13,24,29
14,25,31
13,23,31
14,25,33
14,25,36
14,24,38
14,23,37
15,24,36
15,24,33
16,25,32
15,26,31
14,25,32
14,25,31
14,25,31
13,25,33
13,25,35
14,27,36
14,26,37
14,23,30
14,24,31
14,23,33
14,22,31
14,23,30
14,24,33
14,25,33
14,26,35
14,25,34
14,24,32
16,25,32
15,26,34
15,26,32
13,26,37
14,25,32
14,26,36
15,27,37
15,26,33
15,25,34
14,22,33
14,22,29
14,22,30
15,24,33
15,25,33
15,25,37
14,25,35
13,24,34
14,25,39
15,25,38
15,25,36
15,26,37
14,24,34
15,26,36
15,26,37
14,24,31
14,24,31
14,25,34
13,23,33
13,24,32
13,23,34
13,23,32
13,24,32
12,25,36
12,26,34
12,25,35
14,27,38
14,24,32
14,23,31
17,26,32
15,23,37
14,23,36
14,25,39
14,25,36
14,23,36
13,23,34
12,22,31
14,24,34
14,25,32
15,27,34
16,29,36
15,28,36
16,29,37
16,29,40
14,26,35
13,25,36
14,24,35
14,26,39
14,25,40
15,28,41
15,27,40
15,27,38
15,24,32
15,24,34
13,23,33
13,23,33
13,22,37
13,24,37
13,25,37
14,27,40
14,26,37
14,26,37
15,25,36
15,26,38
15,25,39
15,25,40
15,25,41
13,24,37
14,23,36
14,23,31
14,24,32
14,25,36
14,25,37
14,23,34
15,23,30
15,25,31
16,26,34
15,26,34
14,26,35
14,25,36
13,24,34
14,23,30
14,24,29
14,24,31
15,24,31
13,24,32
13,24,34
12,23,33
14,25,36
15,25,33
14,24,33
14,24,33
13,22,30
15,24,30
14,25,34
12,24,32
13,24,37
16,27,43
16,25,32
16,25,35
16,27,38
16,27,39
14,25,35
14,25,36
14,24,35
14,25,36
15,25,39
15,27,40
14,26,31
14,25,30
14,21,31
16,26,43
16,25,38
15,25,37
13,24,33
12,25,38
13,25,34
14,24,33
14,25,36
14,26,37
14,26,38
13,22,35
13,21,33
14,24,35
14,26,38
15,27,39
14,25,36
13,23,29
12,21,25
16,26,36
13,27,37
14,27,38
13,25,34
13,24,34
13,24,35
13,25,39
13,24,35
14,24,34
15,26,37
14,25,36
15,24,34
14,22,33
14,22,33
12,20,33
14,24,36
14,24,36
14,24,36
14,24,35
14,24,33
13,25,34
13,25,35
13,23,32
13,24,36
13,22,34
13,24,38
13,25,38
14,26,35
15,25,37
14,22,35
16,27,38
17,27,38
16,27,39
17,28,39
14,24,34
14,25,35
14,25,34
15,29,39
15,30,43
15,30,39
15,29,36
14,28,36
15,29,36
15,29,38
15,28,37
13,24,32
16,28,36
16,28,35
17,28,34
16,26,37
16,26,35
14,26,38
14,27,42
14,27,43
16,29,43
17,30,43
17,31,47
16,31,41
16,27,42
16,28,45
15,27,42
15,27,40
14,27,41
15,29,43
15,30,36
15,30,38
18,31,40
19,33,44
15,27,38
14,27,35
15,28,33
17,31,40
17,31,40
16,29,37
14,26,32
14,26,34
13,26,35
13,28,37
14,30,39
14,28,39
14,28,40
15,28,40
16,31,42
15,28,38
16,28,39
16,30,38
15,29,39
15,27,35
15,29,37
17,32,44
17,32,42
17,31,46
17,30,46
17,28,41
16,27,42
16,26,39
15,25,38
15,25,34
13,28,34
14,31,44
14,30,44
14,27,38
15,26,38
15,29,37
16,28,37
16,28,36
16,26,36
14,25,41
14,28,50
14,27,41
15,28,39
15,30,41
16,29,39
15,29,40
15,29,42
15,28,45
15,29,47
17,29,44
17,29,41
17,30,38
16,29,39
17,30,45
15,28,41
14,26,36
16,30,44
15,30,42
16,31,46
15,27,38
15,26,36
14,24,34
14,25,37
14,26,39
15,27,39
15,28,37
14,27,36
16,29,39
15,27,36
14,25,35
14,23,34
14,22,31
15,24,35
14,26,38
15,27,37
15,27,36
14,25,34
14,25,33
14,24,34
15,27,37
15,28,40
15,29,41
15,27,41
15,27,40
16,28,39
16,29,41
16,28,41
17,29,42
15,27,41
15,29,41
15,26,37
15,24,36
15,23,35
15,23,36
14,23,36
15,26,39
15,26,37
15,25,37
15,26,35
14,24,35
14,25,37
14,25,38
15,26,40
15,26,36
14,25,36
13,24,33
13,25,34
13,25,34
15,26,34
15,25,33
16,30,49
15,26,42
15,25,37
14,25,35
14,26,36
12,24,34
14,26,38
15,26,39
15,26,39
16,25,38
15,24,35
15,24,34
15,26,38
15,26,37
16,28,42
15,28,41
15,27,37
15,26,36
15,24,37
15,22,38
15,24,43
15,26,37
15,26,34
15,25,29
14,26,37
15,25,34
14,26,38
14,25,36
14,24,38
13,25,40
14,29,42
16,28,32
14,26,32
15,26,35
15,27,37
16,29,38
16,27,44
15,25,36
14,26,38
14,25,36
14,25,36
14,25,33
16,25,31
15,25,35
15,24,34
15,25,37
14,26,35
15,27,36
15,27,38
15,26,34
14,25,35
13,26,33
13,25,33
14,30,38
17,30,42
15,27,42
14,27,40
13,25,35
14,26,34
14,26,33
15,26,32
15,27,33
14,27,34
14,27,41
15,28,42
15,25,37
15,24,34
16,26,37
15,27,36
14,23,36
14,23,35
14,24,36
13,24,36
16,28,35
16,29,40
14,25,35
14,26,36
